date,price
2024-04-15 19:39:25,2999.0
2024-04-16 06:51:34,2999.0
2024-04-17 00:01:08,2999.0
2024-04-25 14:58:04,3039.0
2024-04-30 17:40:19,3199.0
2024-05-01 18:17:26,2859.0
2024-05-01 19:38:37,3039.0
2024-05-02 09:35:03,2598.0
2024-05-09 09:35:40,2999.0
2024-07-05 11:08:31,3499.0
2024-07-07 08:54:38,3799.0
2024-07-13 17:07:13,3999.0
2024-08-01 08:22:14,4299.0
2024-09-25 19:04:38,2599.0
2024-09-25 20:35:08,2999.0
2024-09-26 21:33:27,2599.0
2024-10-17 14:44:30,4299.0
2024-10-17 16:16:17,2599.0
2024-10-18 08:58:14,4299.0
2024-10-18 20:14:06,2599.0
2024-10-19 08:59:28,4299.0
2024-10-25 12:55:34,2599.0
2024-10-26 06:56:52,4299.0
2024-10-27 04:28:27,2599.0
2024-10-27 13:23:54,4299.0
2024-10-28 02:34:25,2599.0
2024-10-28 08:48:50,4299.0
2024-11-03 10:58:13,2999.0
2024-12-18 08:47:06,2799.0
2025-01-01 18:10:18,2999.0
2025-01-10 14:18:05,2599.0
2025-01-10 18:10:12,2999.0
2025-01-13 02:12:35,2859.0
2025-01-13 15:52:38,2729.0
2025-01-14 03:15:39,2599.0
2025-01-20 07:54:02,2999.0
2025-01-22 15:46:06,3099.0
2025-01-25 18:29:25,2999.0
2025-01-31 18:07:07,3099.0
2025-02-10 12:59:00,2999.0
2025-04-22 02:38:54,3038.0
2025-04-24 11:36:34,2999.0
2025-04-30 18:17:31,2989.0
2025-05-01 06:51:23,2599.0
2025-05-10 18:28:50,2999.0
2025-06-18 06:16:27,2949.0
2025-06-18 17:30:37,2999.0
2025-06-22 08:30:22,3038.0
2025-06-24 03:07:23,2999.0
2025-07-10 05:13:43,2589.0
2025-07-14 10:03:07,2999.0
2025-07-30 18:20:12,2728.0
2025-07-30 19:18:37,2599.0
2025-08-08 20:46:06,2999.0
2025-09-09 15:03:24,3038.0
2025-09-10 16:13:49,2999.0
2025-09-13 14:27:21,2299.0
2025-09-16 20:07:48,2999.0
2025-09-19 16:57:47,2299.0
